step,time_fs,atom_idx,atom_type,atom_energy,total_energy
11,11.0,2,C,-3.9264910221099854,-76.65047454833984
11,11.0,3,C,-1.7355197668075562,-76.65047454833984
11,11.0,4,H,-2.4311606884002686,-76.65047454833984
11,11.0,5,H,7.243678569793701,-76.65047454833984
11,11.0,6,H,-2.571948766708374,-76.65047454833984
11,11.0,7,H,0.7731500864028931,-76.65047454833984
11,11.0,8,H,5.9568257331848145,-76.65047454833984
11,11.0,9,H,1.2411396503448486,-76.65047454833984
11,11.0,10,H,0.38033223152160645,-76.65047454833984
11,11.0,11,H,2.0577268600463867,-76.65047454833984
12,12.0,0,C,3.5101871490478516,-70.26314544677734
12,12.0,1,C,0.4472375810146332,-70.26314544677734
12,12.0,2,C,0.13160380721092224,-70.26314544677734
12,12.0,3,C,-1.11356520652771,-70.26314544677734
12,12.0,4,H,-1.134854793548584,-70.26314544677734
12,12.0,5,H,3.882610321044922,-70.26314544677734
12,12.0,6,H,-1.8305586576461792,-70.26314544677734
12,12.0,7,H,1.5778976678848267,-70.26314544677734
12,12.0,8,H,2.9828286170959473,-70.26314544677734
12,12.0,9,H,-0.18018263578414917,-70.26314544677734
12,12.0,10,H,0.21631646156311035,-70.26314544677734
12,12.0,11,H,-0.13033555448055267,-70.26314544677734
13,13.0,0,C,3.4837846755981445,-70.48123168945312
13,13.0,1,C,0.5293490886688232,-70.48123168945312
13,13.0,2,C,-0.006068557500839233,-70.48123168945312
13,13.0,3,C,-1.0590062141418457,-70.48123168945312
13,13.0,4,H,-1.2070786952972412,-70.48123168945312
13,13.0,5,H,3.925079107284546,-70.48123168945312
13,13.0,6,H,-1.7785146236419678,-70.48123168945312
13,13.0,7,H,1.6111540794372559,-70.48123168945312
13,13.0,8,H,2.968064546585083,-70.48123168945312
13,13.0,9,H,-0.23545563220977783,-70.48123168945312
13,13.0,10,H,0.2283642292022705,-70.48123168945312
13,13.0,11,H,-0.10002671182155609,-70.48123168945312
14,14.0,0,C,2.5661137104034424,-107.17176818847656
14,14.0,1,C,3.5814313888549805,-107.17176818847656
14,14.0,2,C,-4.368945121765137,-107.17176818847656
14,14.0,3,C,-2.2913341522216797,-107.17176818847656
14,14.0,4,H,-3.4408767223358154,-107.17176818847656
14,14.0,5,H,5.888607978820801,-107.17176818847656
14,14.0,6,H,-2.8654708862304688,-107.17176818847656
14,14.0,7,H,4.1479411125183105,-107.17176818847656
14,14.0,8,H,5.751543045043945,-107.17176818847656
14,14.0,9,H,-0.7942510843276978,-107.17176818847656
14,14.0,10,H,1.4307336807250977,-107.17176818847656
14,14.0,11,H,2.576504945755005,-107.17176818847656
15,15.0,0,C,2.3543970584869385,-49.7633056640625
15,15.0,1,C,3.8761253356933594,-49.7633056640625
15,15.0,2,C,-0.7889794111251831,-49.7633056640625
15,15.0,3,C,-1.0568153858184814,-49.7633056640625
15,15.0,4,H,-0.9240483045578003,-49.7633056640625
15,15.0,5,H,5.83762788772583,-49.7633056640625
15,15.0,6,H,-1.999037504196167,-49.7633056640625
15,15.0,7,H,-0.7483353614807129,-49.7633056640625
15,15.0,8,H,3.8891592025756836,-49.7633056640625
15,15.0,9,H,1.5363351106643677,-49.7633056640625
15,15.0,10,H,-0.32218047976493835,-49.7633056640625
15,15.0,11,H,0.14986996352672577,-49.7633056640625
16,16.0,0,C,2.6369540691375732,-105.53173065185547
16,16.0,1,C,3.422973394393921,-105.53173065185547
16,16.0,2,C,-4.091719150543213,-105.53173065185547
16,16.0,3,C,-2.292696952819824,-105.53173065185547
16,16.0,4,H,-3.302539825439453,-105.53173065185547
16,16.0,5,H,5.8027191162109375,-105.53173065185547
16,16.0,6,H,-2.877331018447876,-105.53173065185547
16,16.0,7,H,4.0385894775390625,-105.53173065185547
16,16.0,8,H,5.66091775894165,-105.53173065185547
16,16.0,9,H,-0.7284980416297913,-105.53173065185547
16,16.0,10,H,1.362377643585205,-105.53173065185547
16,16.0,11,H,2.450850009918213,-105.53173065185547
17,17.0,0,C,2.4034173488616943,-49.477996826171875
17,17.0,1,C,3.8487231731414795,-49.477996826171875
17,17.0,2,C,-0.7202308773994446,-49.477996826171875
17,17.0,3,C,-1.0649065971374512,-49.477996826171875
17,17.0,4,H,-0.8847352266311646,-49.477996826171875
17,17.0,5,H,5.833111763000488,-49.477996826171875
17,17.0,6,H,-2.0173892974853516,-49.477996826171875
17,17.0,7,H,-0.775341272354126,-49.477996826171875
17,17.0,8,H,3.8888511657714844,-49.477996826171875
17,17.0,9,H,1.566554069519043,-49.477996826171875
17,17.0,10,H,-0.3658793866634369,-49.477996826171875
17,17.0,11,H,0.12347861379384995,-49.477996826171875
18,18.0,0,C,1.6914856433868408,-86.98553466796875
18,18.0,1,C,6.660304069519043,-86.98553466796875
18,18.0,2,C,-5.162816047668457,-86.98553466796875
18,18.0,3,C,-2.039635181427002,-86.98553466796875
18,18.0,4,H,-3.050511360168457,-86.98553466796875
18,18.0,5,H,7.761845588684082,-86.98553466796875
18,18.0,6,H,-2.802342176437378,-86.98553466796875
18,18.0,7,H,1.450347661972046,-86.98553466796875
18,18.0,8,H,6.722437381744385,-86.98553466796875
18,18.0,9,H,1.0692726373672485,-86.98553466796875
18,18.0,10,H,0.6475174427032471,-86.98553466796875
18,18.0,11,H,2.816133975982666,-86.98553466796875
19,19.0,0,C,1.5107378959655762,-77.85411834716797
19,19.0,1,C,5.960787296295166,-77.85411834716797
19,19.0,2,C,-4.653005599975586,-77.85411834716797
19,19.0,3,C,-1.6949907541275024,-77.85411834716797
19,19.0,4,H,-2.7232232093811035,-77.85411834716797
19,19.0,5,H,6.909884452819824,-77.85411834716797
19,19.0,6,H,-2.414299249649048,-77.85411834716797
19,19.0,7,H,1.2388361692428589,-77.85411834716797
19,19.0,8,H,5.928591251373291,-77.85411834716797
19,19.0,9,H,0.8590965270996094,-77.85411834716797
19,19.0,10,H,0.5828578472137451,-77.85411834716797
19,19.0,11,H,2.5798583030700684,-77.85411834716797
20,20.0,0,C,1.6222875118255615,-58.25861358642578
20,20.0,1,C,4.421872138977051,-58.25861358642578
20,20.0,2,C,-2.8592963218688965,-58.25861358642578
20,20.0,3,C,-1.0632094144821167,-58.25861358642578
