step,time_fs,atom_idx,atom_type,atom_energy,total_energy
10,10.0,14,H,-1.32727181911469,3.98573875427246
15,15.0,0,C,1.27283835411072,0.229416847229004
15,15.0,1,C,-1.22514140605927,0.229416847229004
15,15.0,2,C,-0.177486181259155,0.229416847229004
15,15.0,3,C,0.5976402759552,0.229416847229004
15,15.0,4,C,-0.360493719577789,0.229416847229004
15,15.0,5,H,-0.306342303752899,0.229416847229004
15,15.0,6,H,1.63688445091248,0.229416847229004
15,15.0,7,H,-0.789929330348969,0.229416847229004
15,15.0,8,H,0.587222218513489,0.229416847229004
15,15.0,9,H,0.808864831924439,0.229416847229004
15,15.0,10,H,-0.388491749763489,0.229416847229004
15,15.0,11,H,-0.182613685727119,0.229416847229004
15,15.0,12,H,-2.31628799438477,0.229416847229004
15,15.0,13,H,0.850016176700592,0.229416847229004
15,15.0,14,H,-0.741797745227814,0.229416847229004
20,20.0,0,C,1.13069367408752,5.90542030334473
20,20.0,1,C,-2.51845359802246,5.90542030334473
20,20.0,2,C,-0.292318999767303,5.90542030334473
20,20.0,3,C,0.923289656639099,5.90542030334473
20,20.0,4,C,0.132862776517868,5.90542030334473
20,20.0,5,H,-0.0485799387097359,5.90542030334473
20,20.0,6,H,3.50723075866699,5.90542030334473
20,20.0,7,H,-1.38239741325378,5.90542030334473
20,20.0,8,H,0.355621695518494,5.90542030334473
20,20.0,9,H,1.01390933990479,5.90542030334473
20,20.0,10,H,-0.367409765720367,5.90542030334473
20,20.0,11,H,-0.243152767419815,5.90542030334473
20,20.0,12,H,-3.31624269485474,5.90542030334473
20,20.0,13,H,1.93502283096313,5.90542030334473
20,20.0,14,H,-1.51866888999939,5.90542030334473
25,25.0,0,C,-0.0731899663805962,-6.52484512329102
25,25.0,1,C,-1.45821130275726,-6.52484512329102
25,25.0,2,C,0.533628940582275,-6.52484512329102
25,25.0,3,C,-0.098115012049675,-6.52484512329102
25,25.0,4,C,0.353535383939743,-6.52484512329102
25,25.0,5,H,0.403837203979492,-6.52484512329102
25,25.0,6,H,1.10929226875305,-6.52484512329102
25,25.0,7,H,-0.769455432891846,-6.52484512329102
25,25.0,8,H,-1.25440955162048,-6.52484512329102
25,25.0,9,H,1.02000737190247,-6.52484512329102
25,25.0,10,H,-0.416938930749893,-6.52484512329102
25,25.0,11,H,-0.314798057079315,-6.52484512329102
25,25.0,12,H,-0.871631503105164,-6.52484512329102
25,25.0,13,H,1.03029143810272,-6.52484512329102
25,25.0,14,H,-0.407292127609253,-6.52484512329102
30,30.0,0,C,1.26145195960999,4.38060617446899
30,30.0,1,C,-2.28136324882507,4.38060617446899
30,30.0,2,C,-0.281114906072617,4.38060617446899
30,30.0,3,C,0.876117944717407,4.38060617446899
30,30.0,4,C,-0.0175386220216751,4.38060617446899
30,30.0,5,H,-0.130183309316635,4.38060617446899
30,30.0,6,H,3.16911053657532,4.38060617446899
30,30.0,7,H,-1.29165327548981,4.38060617446899
30,30.0,8,H,0.431537210941315,4.38060617446899
