step,time_fs,atom_idx,atom_type,atom_energy,total_energy
7,7.0,8,H,0.3549147844314575,5.871862411499023
7,7.0,9,H,1.0113402605056763,5.871862411499023
7,7.0,10,H,-0.36775803565979004,5.871862411499023
7,7.0,11,H,-0.2437007576227188,5.871862411499023
7,7.0,12,H,-3.30971360206604,5.871862411499023
7,7.0,13,H,1.9280496835708618,5.871862411499023
7,7.0,14,H,-1.513073444366455,5.871862411499023
8,8.0,0,C,1.2579498291015625,5.445548057556152
8,8.0,1,C,-2.568629264831543,5.445548057556152
8,8.0,2,C,-0.31595394015312195,5.445548057556152
8,8.0,3,C,0.9521235227584839,5.445548057556152
8,8.0,4,C,0.07938052713871002,5.445548057556152
8,8.0,5,H,-0.08019797503948212,5.445548057556152
8,8.0,6,H,3.586315870285034,5.445548057556152
8,8.0,7,H,-1.430537223815918,5.445548057556152
8,8.0,8,H,0.3887138068675995,5.445548057556152
8,8.0,9,H,1.0729801654815674,5.445548057556152
8,8.0,10,H,-0.37609273195266724,5.445548057556152
8,8.0,11,H,-0.2968408763408661,5.445548057556152
8,8.0,12,H,-3.4997432231903076,5.445548057556152
8,8.0,13,H,1.9948793649673462,5.445548057556152
8,8.0,14,H,-1.5587668418884277,5.445548057556152
9,9.0,0,C,1.2607641220092773,4.115898609161377
9,9.0,1,C,-2.220155954360962,4.115898609161377
9,9.0,2,C,-0.27434971928596497,4.115898609161377
9,9.0,3,C,0.8584581613540649,4.115898609161377
9,9.0,4,C,-0.03607652336359024,4.115898609161377
9,9.0,5,H,-0.13949599862098694,4.115898609161377
9,9.0,6,H,3.079578161239624,4.115898609161377
9,9.0,7,H,-1.2629648447036743,4.115898609161377
9,9.0,8,H,0.4397258758544922,4.115898609161377
9,9.0,9,H,1.0063567161560059,4.115898609161377
9,9.0,10,H,-0.3775712251663208,4.115898609161377
9,9.0,11,H,-0.26755934953689575,4.115898609161377
9,9.0,12,H,-3.189098358154297,4.115898609161377
9,9.0,13,H,1.6938259601593018,4.115898609161377
9,9.0,14,H,-1.3451896905899048,4.115898609161377
10,10.0,0,C,1.2632561922073364,3.985738754272461
10,10.0,1,C,-2.193903684616089,3.985738754272461
10,10.0,2,C,-0.26996785402297974,3.985738754272461
10,10.0,3,C,0.8508169651031494,3.985738754272461
10,10.0,4,C,-0.045277632772922516,3.985738754272461
10,10.0,5,H,-0.13837367296218872,3.985738754272461
10,10.0,6,H,3.042590618133545,3.985738754272461
10,10.0,7,H,-1.252286672592163,3.985738754272461
10,10.0,8,H,0.44777870178222656,3.985738754272461
10,10.0,9,H,1.0010360479354858,3.985738754272461
10,10.0,10,H,-0.37393027544021606,3.985738754272461
10,10.0,11,H,-0.2645672559738159,3.985738754272461
10,10.0,12,H,-3.171111822128296,3.985738754272461
10,10.0,13,H,1.6753158569335938,3.985738754272461
10,10.0,14,H,-1.327271819114685,3.985738754272461
11,11.0,0,C,1.1303682327270508,5.708376884460449
11,11.0,1,C,-2.4755263328552246,5.708376884460449
11,11.0,2,C,-0.2852036654949188,5.708376884460449
11,11.0,3,C,0.9098395705223083,5.708376884460449
11,11.0,4,C,0.1164267510175705,5.708376884460449
11,11.0,5,H,-0.054536737501621246,5.708376884460449
11,11.0,6,H,3.4441535472869873,5.708376884460449
11,11.0,7,H,-1.3620061874389648,5.708376884460449
11,11.0,8,H,0.36041587591171265,5.708376884460449
11,11.0,9,H,1.004380226135254,5.708376884460449
11,11.0,10,H,-0.36754360795021057,5.708376884460449
11,11.0,11,H,-0.23980572819709778,5.708376884460449
11,11.0,12,H,-3.274519443511963,5.708376884460449
11,11.0,13,H,1.8945086002349854,5.708376884460449
11,11.0,14,H,-1.4911881685256958,5.708376884460449
12,12.0,0,C,-0.07258528470993042,-6.5562310218811035
12,12.0,1,C,-1.455094337463379,-6.5562310218811035
12,12.0,2,C,0.5322072505950928,-6.5562310218811035
12,12.0,3,C,-0.09856557846069336,-6.5562310218811035
12,12.0,4,C,0.3526604175567627,-6.5562310218811035
12,12.0,5,H,0.4021495282649994,-6.5562310218811035
12,12.0,6,H,1.1063127517700195,-6.5562310218811035
12,12.0,7,H,-0.7682189345359802,-6.5562310218811035
12,12.0,8,H,-1.2542611360549927,-6.5562310218811035
12,12.0,9,H,1.0203373432159424,-6.5562310218811035
